id,copas,gofres,bebidas,crepes,diaSemana,observacion,helados
sFtWBIJKoPFwpk7mw90p,[],[],[],[],sábado,,"[{'inicio': '14:01:48,341', 'fin': '14:02:06,663'}]"
sMrGtlptPLpNxHrJ0RPa,[],[],[],"[{'inicio': '14:43:55,315', 'fin': '14:52:39,495'}]",domingo,,[]
sPYUxFTmlRNf0s1n4xYl,"[{'inicio': '14:52:25,749', 'fin': '14:53:56,693'}]",[],[],[],viernes,,[]
sQutigflaS0fYFCBUtTQ,[],[],[],[],viernes,,"[{'inicio': '12:39:27,102', 'fin': '12:40:11,150'}]"
shPMY8ZNvbXMy3c66m4x,[],[],"[{'inicio': '13:49:04,382', 'fin': '13:55:25,919'}]",[],domingo,,[]
sl4f8DXASDLZBrhycSWm,[],[],[],[],sábado,Artesano,"[{'inicio': '12:56:59,524', 'fin': '12:59:47,703'}]"
sp1fqrKuZbO8snZihF5x,[],[],[],[],sábado,,"[{'inicio': '12:50:53,881', 'fin': '12:51:12,866'}]"
stC927mlMsVum4uyqM3v,"[{'inicio': '14:02:49,767', 'fin': '14:03:13,401'},{'inicio': '14:03:13,401', 'fin': '14:03:43,401'},{'inicio': '14:03:43,401', 'fin': '14:03:51,401'},{'inicio': '14:03:51,401', 'fin': '14:04:13,401'}]",[],[],[],domingo,!4 copas,[]
stpBsUHt8jDwUJDP4iK8,[],[],[],[],domingo,,"[{'inicio': '11:55:12,615', 'fin': '11:55:23,400'}, {'inicio': '11:55:25,284', 'fin': '11:55:43,740'}]"
syB6juJgxh1bWdhDzio2,[],[],[],[],domingo,,"[{'inicio': '15:09:23,930', 'fin': '15:09:32,266'}, {'inicio': '15:09:32,813', 'fin': '15:09:40,005'}]"
szlZ3SmWwrcGJyfOAsMq,[],"[{'inicio': '14:56:00,391', 'fin': '15:00:30,400'}]",[],[],domingo,,[]
t2kPu0Wu1XDBIsDBssKZ,[],[],[],[],viernes,,"[{'inicio': '14:42:08,211', 'fin': '14:42:53,955'}, {'inicio': '14:42:55,003', 'fin': '14:43:02,320'}]"
t5vULIzT5NmEzzp5UieN,"[{'inicio': '14:12:26,070', 'fin': '14:13:48,009'},{'inicio': '14:13:48,009', 'fin': '14:14:48,009'}]",[],[],[],domingo,!2 copas,[]
tDG0zXvDAbQnUzwr922x,"[{'inicio': '13:57:31,438', 'fin': '14:00:13,487'}]",[],[],[],domingo,,[]
tI6pKccccDcYLeyFewNU,"[{'inicio': '12:05:09,985', 'fin': '12:06:27,055'}]",[],[],[],domingo,,[]
tQipmi7VTElCr8g5XSRN,[],[],[],"[{'inicio': '15:06:02,255', 'fin': '15:07:13,615'}]",domingo,,[]
tkrlupshoBA0VpfYimIJ,[],[],[],[],viernes,,"[{'inicio': '14:36:52,847', 'fin': '14:37:19,288'}]"
u6FsK9KliKlwhPpdRaIG,[],[],[],[],sábado,,"[{'inicio': '13:39:47,724', 'fin': '13:40:07,995'}]"
uEdaTJP5ZG77vZt2XKvV,[],[],[],[],domingo,,"[{'inicio': '13:51:12,328', 'fin': '13:51:17,529'}, {'inicio': '13:51:18,074', 'fin': '13:51:23,574'}]"
uLUDirDBozMenaCyesRk,[],[],[],[],domingo,,"[{'inicio': '13:20:14,106', 'fin': '13:20:16,787'}]"
uLza7KAKVzzRTOURMydi,[],[],"[{'inicio': '13:29:12,531', 'fin': '13:30:59,976'}]",[],sábado,,[]
uNXYw9MV1AkUHDMELGBk,[],[],[],[],viernes,,"[{'inicio': '13:15:34,184', 'fin': '13:15:50,842'}]"
uniQjmiabNlhi3X9vmHN,[],[],[],[],domingo,,"[{'inicio': '13:20:08,895', 'fin': '13:20:14,227'}, {'inicio': '13:20:17,161', 'fin': '13:20:40,008'}, {'inicio': '13:20:40,964', 'fin': '13:20:53,097'}, {'inicio': '13:20:54,170', 'fin': '13:21:14,239'}, {'inicio': '13:21:16,408', 'fin': '13:21:21,823'}]"
upTD4p3TF5fONKDyBHdA,[],[],[],[],domingo,,"[{'inicio': '14:55:10,307', 'fin': '14:55:17,227'}, {'inicio': '14:55:17,904', 'fin': '14:55:34,880'}]"
v1g4xozy3fPeSRbhkoEw,[],[],[],[],sábado,,"[{'inicio': '13:45:52,178', 'fin': '13:46:00,266'}, {'inicio': '13:46:00,907', 'fin': '13:46:07,418'}, {'inicio': '13:46:08,525', 'fin': '13:46:53,066'}, {'inicio': '13:46:53,615', 'fin': '13:46:58,706'}]"
v9SRVyZNb745BqJEpPwO,[],[],[],[],domingo,,"[{'inicio': '15:09:14,030', 'fin': '15:09:28,429'}]"
vSujhmABGhz6kpuKTo2I,[],"[{'inicio': '14:10:46,380', 'fin': '14:16:38,566'}]",[],[],sábado,,[]
vg636UDENmRY5Nts1e57,[],[],[],[],domingo,,"[{'inicio': '13:20:42,757', 'fin': '13:20:45,600'}, {'inicio': '13:21:05,943', 'fin': '13:21:13,821'}, {'inicio': '13:21:28,242', 'fin': '13:21:36,645'}, {'inicio': '13:21:37,143', 'fin': '13:21:42,709'}]"
vouMWJjov4xSLunZ2tQy,[],[],[],[],viernes,,"[{'inicio': '14:18:05,580', 'fin': '14:18:47,827'}]"
vyOdnzLfCH8iRPHMg1Xi,[],[],"[{'inicio': '14:21:33,391', 'fin': '14:24:42,070'}]",[],domingo,,"[{'inicio': '14:20:30,184', 'fin': '14:20:45,511'}]"
vzZM3tKoYahtiOCbRlhJ,[],[],[],[],viernes,,"[{'inicio': '13:50:49,809', 'fin': '13:51:37,987'}]"
wDanDIhBtjD9souEsh2J,[],[],[],[],domingo,,"[{'inicio': '11:51:20,390', 'fin': '11:51:28,044'}, {'inicio': '11:51:29,193', 'fin': '11:51:34,731'}]"
wEYN6WJXYy9Ib0KlCoaZ,[],[],"[{'inicio': '14:10:11,006', 'fin': '14:12:09,301'}]",[],sábado,,[]
wEsly3ixI4ylZGqQLHM3,[],[],[],[],domingo,,"[{'inicio': '14:57:47,576', 'fin': '14:58:17,685'}, {'inicio': '14:58:22,807', 'fin': '14:58:49,044'}]"
wN0VlNoKyzfOGpJmdrd8,[],[],[],[],viernes,,"[{'inicio': '14:09:57,560', 'fin': '14:10:48,381'}]"
wVPuJl3jP7Rj5jTQ1awH,[],[],[],[],domingo,,"[{'inicio': '14:20:59,503', 'fin': '14:21:19,345'}, {'inicio': '14:21:20,304', 'fin': '14:21:28,941'}, {'inicio': '14:21:29,541', 'fin': '14:21:51,418'}]"
wWLdRNM4UTCpXco7BL8b,[],[],[],[],viernes,,"[{'inicio': '14:26:53,775', 'fin': '14:27:10,067'}]"
wi0lGdNyidA8LREWle7B,[],[],"[{'inicio': '13:10:05,468', 'fin': '13:10:42,353'}]",[],domingo,,[]
wkc2927PY97vK7ybVWZL,[],[],[],[],sábado,,"[{'inicio': '14:11:11,784', 'fin': '14:11:25,616'}]"
x4lh96LWfbA4No47D4dI,"[{'inicio': '14:31:55,557', 'fin': '14:32:38,379'}]",[],[],[],sábado,,[]
xCZWRYrocANGxQQ7b3z7,[],"[{'inicio': '12:16:05,233', 'fin': '12:21:05,050'}]",[],[],sábado,,[]
xMOeKkJckpvAzjTOc5WF,[],[],[],[],viernes,,"[{'inicio': '13:16:46,382', 'fin': '13:17:24,910'}]"
xbzOIaqlbj9QbLHk7XNU,[],[],[],[],domingo,,"[{'inicio': '13:40:22,382', 'fin': '13:40:36,369'}, {'inicio': '13:40:37,263', 'fin': '13:40:56,912'}]"
xf8xtZTuZYOaDg5cj1oQ,[],[],[],[],sábado,,"[{'inicio': '14:26:09,614', 'fin': '14:26:36,254'}]"
xoJabsKrX41F3jq5dpfT,"[{'inicio': '14:39:04,056', 'fin': '14:40:04,056'},{'inicio': '14:40:04,056', 'fin': '14:42:47,587'}]",[],[],[],domingo,!Dos copas ,"[{'inicio': '14:42:48,018', 'fin': '14:42:57,309'}]"
xqjbYjA100UxRYm9HYe5,[],[],[],[],domingo,,"[{'inicio': '13:49:14,347', 'fin': '13:49:37,069'}]"
y8KqoxkaMETBpDuYs4AR,"[{'inicio': '14:27:35,834', 'fin': '14:29:13,007'}]",[],[],[],domingo,,[]
yRbK1hiT1yBczEDy0fZ7,[],[],[],[],viernes,,"[{'inicio': '12:52:21,374', 'fin': '12:54:17,117'}]"
yUSsUpOI3jgGqPcVCXol,[],[],"[{'inicio': '14:44:37,031', 'fin': '14:47:21,598'}]",[],domingo,,[]
yYwy8e008cKPyfPySgYr,[],[],[],[],domingo,,"[{'inicio': '14:56:35,554', 'fin': '14:56:48,869'}, {'inicio': '14:56:49,784', 'fin': '14:57:31,348'}]"
yn8bOtlbbWfcYUvezL5M,[],[],[],"[{'inicio': '12:29:22,776', 'fin': '12:35:28,291'}, {'inicio': '12:35:29,327', 'fin': '12:38:51,202'}]",domingo,,[]
yr9C14OhL0YgqV9cevAr,[],[],"[{'inicio': '13:22:31,938', 'fin': '13:24:35,698'}]",[],sábado,,[]
z141YeikyrplkrOxbV0i,[],[],[],[],domingo,,"[{'inicio': '13:00:21,647', 'fin': '13:01:07,437'}]"
z8ot0y3Wv9wI670o8wPn,[],[],[],[],domingo,,"[{'inicio': '13:42:37,877', 'fin': '13:42:40,879'}, {'inicio': '13:42:47,032', 'fin': '13:42:50,694'}, {'inicio': '13:45:32,697', 'fin': '13:45:37,214'}]"
zE9YhYEf2caIkbXHem6U,[],[],"[{'inicio': '14:44:43,805', 'fin': '14:47:23,742'}]",[],domingo,,[]
zFpkGFl6AXO5ggfGJx3b,[],[],"[{'inicio': '13:34:40,166', 'fin': '13:35:29,514'}]",[],domingo,,[]
zddP2PlHlbDq3gwaZxiG,[],[],"[{'inicio': '14:17:15,822', 'fin': '14:19:35,585'}, {'inicio': '14:19:36,958', 'fin': '14:20:01,092'}]",[],domingo,,[]
zgt9I87HJHSjsb6oXF7x,[],[],[],[],domingo,,"[{'inicio': '12:43:41,755', 'fin': '12:44:06,924'}, {'inicio': '12:44:13,637', 'fin': '12:44:18,451'}, {'inicio': '12:44:23,598', 'fin': '12:44:49,366'}, {'inicio': '12:44:51,942', 'fin': '12:45:21,724'}]"
zlU7EoYqmxxkrHHz2tcM,[],[],"[{'inicio': '13:26:07,460', 'fin': '13:27:22,793'}]",[],domingo,,[]
zqy4MfZxlRdI51u9V8lC,[],[],[],[],domingo,,"[{'inicio': '14:20:05,375', 'fin': '14:20:24,932'}]"
ztOsJ1Vzd7Z6NLAXZAb0,[],[],[],[],sábado,,"[{'inicio': '14:30:12,471', 'fin': '14:30:31,809'}]"
zveavgvE9vAFkJqtfdVR,[],[],[],[],domingo,,"[{'inicio': '13:24:50,635', 'fin': '13:25:23,396'}, {'inicio': '13:25:29,015', 'fin': '13:26:15,138'}, {'inicio': '13:26:15,573', 'fin': '13:26:45,128'}]"
zxQb72zK2RY1RQPC0Zlz,[],[],[],[],viernes,,"[{'inicio': '15:00:18,570', 'fin': '15:01:21,758'}]"
zzhuYPcjJ7uI5KNiCCMt,"[{'inicio': '13:27:33,586', 'fin': '13:29:11,342'}]",[],[],[],domingo,,[]
