,id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
465,isH6JhfpHLmI7VGA1rgz,sábado,13:54:46.224000,"14:01:38,231","14:02:21,263","14:02:47,494",Tarjeta,
332,WcX1yyDIwAZSPSehXVjz,sábado,14:05:45.095000,"14:05:46,327","14:05:49,810","14:06:02,021",efectivo,
336,XLrCXeOGohPZukRTWJ3M,sábado,14:51:33.017000,"14:52:51,557","14:53:01,104","14:53:17,892",efectivo,
341,Xrshrviqm5iJGZdRLeL6,sábado,14:07:40.484000,"14:09:00,463","14:09:05,642","14:09:12,132",efectivo,
344,YEXN1bZSbVQAnSQHZbva,sábado,14:40:39.943000,"14:40:48,501","14:41:09,755","14:41:29,362",Tarjeta,
459,hxYES5nbd3vZSeYE6Urt,sábado,14:42:24.391000,"14:42:30,528","14:42:38,574","14:42:50,364",Tarjeta,
347,YafMFiwCihdR5DGVrV3h,sábado,14:24:48.671000,"14:24:50,624","14:24:52,503","14:25:03,307",efectivo,
456,heIrRnw2GJUs9WMdViz1,sábado,14:09:15.713000,"14:10:17,091","14:10:36,889","14:10:52,556",efectivo,
210,JHOPB1LCLeRGIgqSf0W8,sábado,12:35:43.673000,"12:35:44,978","12:36:06,541","12:36:46,617",Tarjeta,
211,JLFMcmtmldqLxiPNVo6R,sábado,12:08:33.296000,"12:10:53,576","12:11:08,575","12:11:21,199",Tarjeta,
424,f2I6YnNZvdmRuFXkx7r6,sábado,12:33:40.483000,"12:33:55,449","12:34:33,901","12:34:40,872",Tarjeta,
128,CfsS1nlvkC8LZofye93V,sábado,12:41:49.141000,"12:43:15,801","12:44:08,724","12:44:12,263",Tarjeta,
207,IyHe4wyfQUHVH4nKVKsQ,sábado,14:48:26.525000,"14:50:18,546","14:50:48,052","14:51:01,239",Tarjeta,
113,BaNdHBtER04kMC8DJz84,sábado,13:17:14.521000,"13:17:43,043","13:18:17,055","13:18:26,177",Tarjeta,
115,BjcqXWiEPQNpdKUhUdnP,sábado,13:49:22.541000,"13:54:26,943","13:54:52,361","13:59:47,057",Tarjeta,"La señora cogio el datáfono y lo manipuló ella, no la cajera y aparte se volvió a dañar jajajaja. Se dañó una segunda vez y la señora terminó pagando después mientras llamaba a alguien "
117,C4jaMWBFv4bWyQXqab1L,sábado,13:08:53.230000,"13:12:46,262","13:13:19,883","13:13:33,328",efectivo,
118,C4nLjSdlCnVX2W0TzzCn,sábado,13:13:17.366000,"13:14:31,044","13:14:46,138","13:15:02,200",Tarjeta,
562,tMxC0CUEywJXvLBp7ya6,sábado,14:34:32.996000,"14:36:36,038","14:36:45,502","14:37:04,647",Tarjeta,
120,CNR6I74ofFHGRPXp8fgD,sábado,13:14:02.288000,"13:14:36,862","13:14:45,420","13:14:58,902",efectivo,
121,CSrXbOed9xALaLMejDfI,sábado,14:16:35.824000,"14:16:37,061","14:16:42,970","14:17:25,424",Tarjeta,
122,CTADy7klCX0IwspsQcJE,sábado,14:44:18.872000,"14:45:02,966","14:45:07,913","14:45:17,803",Tarjeta,
44,3Tawoq687kmGkcKDDNz6,sábado,13:30:43.006000,"13:31:52,134","13:32:06,010","13:32:33,097",Tarjeta,
125,CYlgSMewZT82QB9dOf4F,sábado,13:01:32.293000,"13:01:55,253","13:02:43,502","13:03:15,898",Tarjeta,Hay tres en cocina. Al parecer se daño el datafono
126,CfNTGnv0aYlV7FmNbZjc,sábado,14:06:22.227000,"14:07:32,969","14:08:31,668","14:08:39,361",efectivo,
41,3M7TJn8o0HbaRbcOOlh1,sábado,11:35:12.475000,"11:36:15,269","11:36:34,741","11:37:08,183",efectivo,Hay dos en cocina
127,CfcbL08jTXOeP4fFLPrp,sábado,14:38:09.671000,"14:38:19,871","14:38:37,863","14:39:22,601",efectivo,
559,sz3vnTypMXyOYMscrrXR,sábado,14:15:17.971000,"14:15:19,797","14:15:38,085","14:15:44,653",efectivo,La cajera le esta
565,tYymxJ8985QfM2YCVnmY,sábado,13:13:13.601000,"13:13:59,826","13:14:15,304","13:14:28,410",efectivo,
558,stSCrNSwNLDJ01bvqcLj,sábado,14:25:53.369000,"14:26:53,911","14:27:02,603","14:27:18,579",efectivo,
132,D5eMFbQXFnZNLO0dmyyy,sábado,13:21:22.243000,"13:22:08,710","13:22:45,148","13:22:46,723",Tarjeta,El perro de la cliente casi hace caer al siguiente cliente 
133,D6yEwD3zgewWscm4C8T7,sábado,12:37:54.956000,"12:37:57,376","12:38:09,637","12:38:21,183",efectivo,
556,spt2Aqb0vHpUDbnQKT9j,sábado,13:05:10.617000,"13:09:36,886","13:09:40,490","13:09:58,616",Tarjeta,
137,DOdTbBLdSSrImBCzBxjq,sábado,12:13:29.767000,"12:13:31,821","12:13:46,041","12:14:21,625",efectivo,
604,xuIWldpyrD30fTQtNc61,sábado,13:42:00.857000,"13:42:09,416","13:42:26,210","13:42:34,932",Tarjeta,
138,DSnerjmuG2IL4U3tLkrM,sábado,12:52:18.029000,"12:52:45,783","12:53:03,380","12:53:29,219",Tarjeta,
555,soZrprhKAdZHyISHMP2N,sábado,13:20:46.075000,"13:20:58,854","13:21:06,846","13:21:27,960",efectivo,
140,DeYzeaWu1a1b1vZI9vwZ,sábado,13:34:44.146000,"13:34:59,045","13:35:05,298","13:35:08,196",efectivo,
38,3DudsJbOEibJZq3esEvj,sábado,14:49:48.294000,"14:52:22,669","14:52:42,400","14:52:47,509",efectivo,
36,32hrMrZnJMqtCSAtS3Hp,sábado,13:22:11.054000,"13:23:07,776","13:23:42,398","13:24:10,934",Tarjeta,
35,2zNL8PaWYfzkERNuCLGd,sábado,12:51:41.290000,"12:52:13,559","12:52:37,930","12:52:42,416",efectivo,
143,DnOgM7hWvFMhcZDCKFoi,sábado,13:32:53.880000,"13:33:55,332","13:34:05,622","13:34:18,460",efectivo,La cajera se demoró por estar en cocina
552,sYaTmLyKvTvxJaOvixqj,sábado,14:16:32.836000,"14:17:11,321","14:17:25,368","14:17:52,337",efectivo,
111,BQS8MRQfmfchDRpeIiG5,sábado,14:08:58.842000,"14:09:46,771","14:10:06,167","14:10:17,358",efectivo,
109,BJQqwgpwEMJvsyZ2ynt6,sábado,12:11:24.164000,"12:11:30,487","12:12:15,860","12:12:16,817",Tarjeta,
34,2Xlgz810hYTS4RYrQo4n,sábado,13:10:44.363000,"13:13:38,722","13:13:50,937","13:13:54,606",Tarjeta,
581,veddK4v3T6nJwgbNl9p9,sábado,13:34:30.375000,"13:34:41,426","13:34:51,172","13:34:52,923",Tarjeta,
67,72jBwfqC1YDXnhnJX3V4,sábado,13:59:14.941000,"13:59:28,498","13:59:57,959","14:00:56,177",efectivo,Cajera en cocina
68,7AmlajTaQZZVU3Culasu,sábado,14:21:02.944000,"14:21:07,563","14:21:12,903","14:21:37,250",efectivo,La señora se coló 
61,6PQM22NKP8xekpo2GebQ,sábado,14:02:06.738000,"14:03:32,180","14:03:45,183","14:04:04,902",Tarjeta,
587,wPLodKCSODgpm5yxFG6j,sábado,12:00:45.041000,"12:00:52,563","12:01:26,995","12:01:46,349",efectivo,
586,wNZyB1HfXiXLQG6ZVdUw,sábado,14:06:15.269000,"14:07:01,707","14:07:06,598","14:07:29,187",efectivo,
71,7WaJy4lx4BucuPJPAMwF,sábado,14:46:28.234000,"14:48:31,129","14:48:47,639","14:48:52,992",efectivo,
72,7h1edOwqGScqqJRVUTIr,sábado,13:29:27.942000,"13:29:29,639","13:29:39,716","13:30:13,021",efectivo,
74,7uvngesv7HPe6KLSsqs6,sábado,15:00:12.953000,"15:06:57,046","15:07:05,630","15:07:25,542",efectivo,"Ya, aqui corto por hoy"
59,6DRRWSTJF288YyGuRj7l,sábado,13:34:02.148000,"13:34:23,600","13:34:33,690","13:34:37,396",efectivo,
594,wy9CQctV9t4NVzJcqBtA,sábado,14:01:06.669000,"14:01:18,176","14:01:24,569","14:02:06,830",Tarjeta,
55,57eZHUidYZW3cdsxrvD5,sábado,13:34:48.392000,"13:40:21,289","13:40:30,761","13:41:28,637",efectivo,Se pusieron a contar monedas
79,8CPClS3eSedMddKmW7Vk,sábado,11:34:20.385000,"11:34:28,408","11:34:41,407","11:35:03,161",Tarjeta,
80,8XG94MZh7Wn7OnE2H1iB,sábado,14:28:32.143000,"14:29:00,196","14:29:24,789","14:29:31,362",efectivo,
582,vfzlKn5N5TaSYh831SxS,sábado,14:53:40.308000,"14:55:18,679","14:55:35,691","14:55:46,094",efectivo,"No se a donde se fur la cajera, la cola no avanza por un rato, parece que se habia quedado sin sencillo"
84,8gHzlD3weqndgC5ZtspW,sábado,13:32:08.027000,"13:34:54,225","13:35:27,816","13:35:52,967",bono,La señora de caja estaba en cocina 
107,AkbN09pxuoVLQoT9IiPY,sábado,13:28:01.686000,"13:29:50,549","13:29:56,920","13:30:47,943",Tarjeta,
595,x3Ir4fo7NvkOoQDa3BXb,sábado,13:40:03.667000,"13:40:21,421","13:40:42,698","13:41:00,363",efectivo,Cajera estaba en cocina
52,4WAqOpuUD2TBnlnuvr7K,sábado,13:53:52.118000,"13:54:07,580","13:54:49,811","13:54:59,169",efectivo,
575,uLfk8JTj9ACQC01WkSNX,sábado,13:51:53.042000,"13:57:44,210","13:58:30,357","13:59:24,526",efectivo,
94,9dBUqNCtNYwHjzusIyPo,sábado,13:53:15.095000,"13:53:17,497","13:53:35,874","13:54:02,297",efectivo,
572,u2hJOhJoVnt3x0VlaeBc,sábado,12:42:04.150000,"12:44:14,073","12:44:25,471","12:44:50,662",efectivo,
600,xOyjjzoH8QzK47RXlH46,sábado,14:45:29.472000,"14:46:25,423","14:46:30,860","14:47:42,098",efectivo,La cajera fue a buscar una bomba para el niño
96,9qpu6Pxi2GeIFBZt0lhj,sábado,12:27:14.007000,"12:27:15,735","12:27:23,797","12:27:46,785",efectivo,
570,tr4QWAXnZU56omRx42ON,sábado,12:19:06.686000,"12:19:08,947","12:19:17,904","12:19:37,275",Tarjeta,
100,A9y1R1hpSf2wuJ8RnvnS,sábado,14:07:03.649000,"14:08:17,310","14:08:51,747","14:08:55,753",efectivo,
101,ADayTdowpmDsEhx99K3N,sábado,13:14:11.209000,"13:15:02,797","13:15:22,517","13:16:39,020",efectivo,Cajera tuvo que buscar vueltas 
102,ANRTn0JptCkkgJG6Vv68,sábado,13:34:20.439000,"13:38:58,145","13:39:06,718","13:39:24,365",efectivo,
568,tnakYs96BJv7EMPN5b3f,sábado,12:13:53.823000,"12:14:25,955","12:14:30,357","12:14:46,220",efectivo,
104,ASPl0jMPrtwlsUVbmoRe,sábado,13:18:34.557000,"13:20:40,547","13:20:52,508","13:20:57,860",efectivo,
105,AShHEfYRd0UEvKSJQfo5,sábado,13:34:51.173000,"13:41:34,195","13:42:04,313","13:42:12,574",efectivo,
145,DzGAnG5inLYHoJguWXfX,sábado,13:45:33.841000,"13:46:22,115","13:46:42,372","13:47:56,196",efectivo,"La cajera estaba en cocina, se pusieron a buscar monedas "
553,sepSl2f1RTfseB1WGFec,sábado,12:56:43.428000,"12:56:47,510","12:57:25,871","12:57:35,290",efectivo,Ya estaban comiendo helado y vinieron por más helado D:
551,sVt7U3gOVorYSa4bc8RN,sábado,13:37:25.082000,"13:37:25,913","13:37:47,264","13:38:35,063",Tarjeta,
24,1s3SH0MpaKWET8nMgcS2,sábado,13:13:06.632000,"13:13:56,933","13:14:04,687","13:14:33,915",Tarjeta,
543,rM2wRAIzZfKZ6aCYK1gN,sábado,13:01:58.364000,"13:07:08,672","13:08:13,742","13:08:35,687",Tarjeta,Pedido de 7 personas
23,1qo668xGA89UB1LM9FF8,sábado,12:06:47.407000,"12:09:29,103","12:09:35,340","12:10:08,984",efectivo,Se demoró porque la cajera estaba apoyando en cocina 
171,G0wbH2TBWiolZX4xJkZa,sábado,12:49:53.208000,"12:51:45,271","12:51:48,290","12:51:53,426",Tarjeta,
148,ENm4uOqmbZXHDN37mAVS,sábado,14:25:54.983000,"14:27:23,902","14:27:41,294","14:27:59,626",Tarjeta,
176,GbSvodf9bJI5Iii7PKxj,sábado,13:21:41.771000,"13:22:54,712","13:23:17,829","13:23:32,661",Tarjeta,
177,GfsrPv5QloxBft8T9f2z,sábado,14:24:05.607000,"14:24:08,000","14:24:27,402","14:24:42,849",efectivo,
19,1T0J0uXVXiHy1cJP4cyJ,sábado,14:14:04.598000,"14:14:30,036","14:14:41,145","14:14:51,158",efectivo,Cajera en cocina
179,GhZpwvNtJWDRYFpNHcIV,sábado,13:23:52.427000,"13:23:57,595","13:24:09,724","13:24:23,150",efectivo,
181,H0aiiQKC6uRXUS7sxewO,sábado,13:20:44.852000,"13:21:53,537","13:22:34,771","13:23:02,725",efectivo,
17,1Hyc9te0Sg2HgWNeFaqk,sábado,13:54:18.941000,"14:00:26,595","14:00:50,192","14:01:28,450",efectivo,
183,HDZOLOliYVfihJ1ueFhJ,sábado,12:19:10.633000,"12:19:15,637","12:19:22,710","12:19:35,329",Tarjeta,
616,z5ZcGoZszA8zZ7kAJWse,sábado,14:22:43.725000,"14:24:13,010","14:24:27,185","14:24:38,627",efectivo,
189,HkYBb1IMKK1Ew2fTcUIO,sábado,14:14:20.399000,"14:14:22,294","14:14:34,013","14:14:41,653",efectivo,
14,19aHprh87YTWRljmm6n3,sábado,14:25:56.450000,"14:28:02,160","14:28:13,971","14:28:30,330",Tarjeta,
535,qeYEUzJHtP8CszoILSiI,sábado,14:19:50.448000,"14:21:45,679","14:21:56,522","14:22:04,525",efectivo,
618,zBh0KpkJK4kNDp7TXP0b,sábado,11:59:25.989000,"11:59:44,715","12:00:01,950","12:00:18,968",Tarjeta,
10,0m3ne6XhAutI2ofa54gb,sábado,13:33:38.905000,"13:36:46,819","13:37:10,985","13:37:30,735",Tarjeta,
192,HrzK0W8CsOm4crUcjWia,sábado,12:05:59.851000,"12:06:02,480","12:06:25,078","12:06:42,943",Tarjeta,
193,I0aTKFsx7qxjPRymooJ0,sábado,13:54:20.328000,"13:55:10,032","13:55:50,326","13:55:56,827",Tarjeta,
195,I6pV2VT588P4exiHQXId,sábado,13:17:05.334000,"13:19:32,685","13:19:41,272","13:19:52,681",Tarjeta,La cajera se demoró por estar en cocina 
197,IBqENdIHFGvoKIoeUdE1,sábado,12:49:04.591000,"12:52:32,471","12:52:53,697","12:53:40,223",Tarjeta,Tres en cocina
532,qKwv7hBpEy5UuxRVYrod,sábado,11:50:25.605000,"11:50:47,695","11:51:10,761","11:51:32,418",efectivo,Segundo sabado
622,zJezqyB9bgP4Osix7nfZ,sábado,12:40:23.650000,"12:41:41,565","12:41:57,791","12:42:12,952",Tarjeta,
623,zL0wggXkCjO0jjqFYNS3,sábado,14:05:48.085000,"14:06:09,595","14:06:37,489","14:06:56,212",efectivo,
202,IaJtEWv0Qf3cquyPcbF3,sábado,12:52:27.790000,"12:53:31,353","12:53:40,660","12:54:04,493",efectivo,
3,04TaWTyYlwHFb1W50Hiq,sábado,14:36:34.923000,"14:37:40,323","14:37:44,665","14:38:01,070",efectivo,
204,IhhFN49F4cV8520wlXvY,sábado,13:05:34.865000,"13:10:22,516","13:10:38,510","13:10:51,953",Tarjeta,
544,rNot0R9pDHKy3CaRajse,sábado,12:06:27.124000,"12:08:59,281","12:09:02,299","12:09:04,482",efectivo,Se demoró la atención porque la de caja estaba apoyando en cocina 
613,ycPLnKUePtMQCdITrIIO,sábado,12:14:44.612000,"12:15:13,197","12:15:29,723","12:16:10,692",efectivo,Una bebé estaba llorando porque no quería hacer fila kajajaja
168,FoRG91Z36s3ijM0hLH9L,sábado,13:40:35.890000,"13:41:03,448","13:41:14,689","13:41:25,816",efectivo,
548,s3VhWCx2ckQiiPXWkiO6,sábado,12:42:37.930000,"12:42:40,414","12:42:48,645","12:42:50,579",efectivo,
149,EO6cg56iXyGRlZBLbKb5,sábado,14:27:19.767000,"14:27:34,075","14:27:56,607","14:28:09,155",Tarjeta,
150,EQ8Gb5R8ZMyTF1BnJY8o,sábado,12:08:30.945000,"12:10:12,430","12:10:46,398","12:10:49,376",Tarjeta,
33,2WYvugSFHc1WWdZ02uHe,sábado,14:24:15.974000,"14:24:43,797","14:25:47,469","14:26:04,740",Tarjeta,Se quedaron hablando 
151,ESq6Z0gDeLt9mpX6OWsp,sábado,12:47:08.598000,"12:47:22,844","12:47:26,058","12:47:45,113",efectivo,
152,EaGMC7pF3ZYVfGYpqskE,sábado,14:20:13.717000,"14:20:33,942","14:21:17,201","14:23:08,262",Tarjeta,
153,EaNCykVQWn692KrTUpML,sábado,14:08:16.084000,"14:09:20,322","14:09:48,022","14:10:06,727",Tarjeta,
545,rtDhoq3GgkQlKJomymRb,sábado,14:17:31.782000,"14:17:39,051","14:17:49,718","14:17:58,201",Tarjeta,
30,2P8KRRtvD4G6SuTlAvv6,sábado,12:50:55.200000,"12:51:54,911","12:52:07,387","12:52:10,774",efectivo,
159,FGjJ31YtZ342frFpQF1q,sábado,13:44:09.243000,"13:47:24,120","13:47:35,094","13:49:08,804",Tarjeta,Tocó insertar la tarjeta porque no pasó por NFC y se volvió a dañar el datáfono 
609,y8YCj8unEvHBNAGkAazB,sábado,14:14:38.242000,"14:16:22,877","14:16:31,519","14:17:06,650",Tarjeta,
160,FIb2ALXUMUTrsdwqbs9y,sábado,14:26:05.001000,"14:26:31,373","14:26:55,522","14:27:25,345",Tarjeta,
161,FNSG526n3f3gUEP81nNW,sábado,12:19:31.263000,"12:19:38,637","12:19:57,336","12:20:11,659",efectivo,
156,EjhJJ5dwXp7GyaIwKUvJ,sábado,12:38:11.572000,"12:38:40,539","12:39:44,908","12:40:21,291",Tarjeta,
592,wq0nFaygSplOEJuq2hA3,sábado,14:27:35.026000,"14:28:33,361","14:28:38,709","14:28:53,578",efectivo,
163,FQKTudGRtKePgfNgeA9b,sábado,13:34:35.464000,"13:39:25,963","13:39:46,448","13:40:17,547",bono,
611,yUKroARjMPOo9Ow2G2j2,sábado,15:00:12.138000,"15:06:25,315","15:06:39,017","15:06:50,692",efectivo,
166,FhHL47R2mBEAECl27FDS,sábado,14:29:36.134000,"14:30:52,259","14:31:52,078","14:32:12,355",Tarjeta,
546,ryjysLBDEcowhF4MVFTI,sábado,13:03:23.365000,"13:03:52,314","13:04:02,505","13:04:38,617",efectivo,
621,zH5qXj9ZUOgYdA0hpFLT,domingo,14:47:29.420000,"14:55:40,006","14:56:02,651","14:57:10,503",efectivo,
606,y0uFwNHESwhVSWHRGx6n,domingo,14:24:14.998000,"14:30:57,475","14:31:15,575","14:31:35,321",Tarjeta,
440,gYInOxIOE7s1VciAAT7U,domingo,12:46:32.442000,"12:48:13,333","12:48:25,153","12:49:30,743",digital,Está no tenía plata igual se toma 
620,zDdDb5fHzdd7AyuFzhDA,domingo,13:36:07.781000,"13:38:28,111","13:38:50,933","13:39:26,635",efectivo,
593,wtgjMi4swUQqU7SOongK,domingo,14:16:33.756000,"14:19:33,708","14:20:13,683","14:22:19,098",efectivo,"Fallo datafono, paso a efectivo "
427,fNvLGmyQ1FPmSYxJWgx7,domingo,13:42:47.775000,"13:42:58,891","13:43:06,403","13:43:14,039",efectivo,
605,xwr5oiJVhFc5HCSrEC9S,domingo,13:13:56.113000,"13:15:28,339","13:15:32,708","13:15:51,383",efectivo,
590,wfx46iPxmeDmp56X9zYg,domingo,14:37:46.392000,"14:42:36,184","14:42:55,144","14:43:21,520",Tarjeta,Se fue el que le seguia
619,zCEuSsQzu5I7T4OHeram,domingo,12:56:16.197000,"12:56:22,465","12:56:25,107","12:56:40,281",efectivo,
445,h32twg6t01n4yplcosAm,domingo,12:33:13.626000,"12:34:22,513","12:35:09,662","12:35:28,670",efectivo,
444,gn5mLwIuPUWA7EoZrQOc,domingo,14:09:56.707000,"14:11:45,395","14:12:19,997","14:12:56,602",Tarjeta,
443,giRncRax62eSjHPaCZyM,domingo,13:52:15.859000,"13:55:48,627","13:55:57,787","13:56:10,210",efectivo,
425,f4uq4hQeXXDem76qd2pn,domingo,14:30:14.541000,"14:37:01,184","14:38:10,128","14:38:14,644",Tarjeta,
434,fto70APgkTQTtTrt4zfl,domingo,14:01:57.998000,"14:05:30,427","14:05:46,154","14:06:05,544",efectivo,
429,fksOhzF1a4kF3n6ZpzwY,domingo,12:59:05.840000,"12:59:51,682","12:59:57,308","13:00:13,290",Tarjeta,
601,xY207pe3c0xJlGdV3CZ5,domingo,14:55:10.636000,"15:01:26,374","15:01:56,015","15:02:29,292",Tarjeta,Fallo datafono
451,hSHLRmiDwi9dvHN9iMlU,domingo,13:01:51.292000,"13:03:11,102","13:03:24,935","13:04:01,282",efectivo,
446,h5MNS9zjysWrsSBZUAoH,domingo,14:41:11.070000,"14:46:48,833","14:47:05,612","14:47:19,499",Tarjeta,
596,x7mwXY7FzJ62YEAx098e,domingo,14:52:31.447000,"15:01:03,391","15:01:21,476","15:02:01,805",efectivo,
433,foo3ozUDgAxCbdwLvjK7,domingo,14:55:25.276000,"15:03:04,910","15:03:39,175","15:04:50,962",Tarjeta,Falla datafono
617,z7fGIrDNFtyUnRR5kH4a,domingo,14:39:19.560000,"14:45:23,595","14:46:20,017","14:46:41,098",efectivo,
598,xIflCGtBc391SZgGqevm,domingo,14:03:43.533000,"14:06:00,824","14:06:08,545","14:07:21,873",Tarjeta,
599,xMMsJqafVwjGveJiMacY,domingo,12:27:56.609000,"12:28:22,168","12:28:57,504","12:29:20,611",efectivo,
602,xYyRV0HtQGNXkwUmNk94,domingo,13:50:18.529000,"13:59:19,475","13:59:54,097","14:00:11,712",efectivo,Dejo pasar gente
431,fn5LWxXpreb2IHrIHJaM,domingo,14:07:15.584000,"14:09:13,670","14:09:31,235","14:09:43,230",efectivo,
607,y1XIUtKbCegyYUps8k9D,domingo,11:45:14.654000,"11:52:09,798","11:52:10,628","11:52:11,849",efectivo,"Cajera esta en cocina. Se fueron, se abuerrieron de esperar"
615,yhLetVIPnVXlsDXSY1nx,domingo,14:12:52.915000,"14:14:15,381","14:14:23,728","14:14:37,023",efectivo,
608,y6Ie69rdmXT7Ne3xw0mf,domingo,13:06:47.339000,"13:13:01,251","13:13:15,372","13:13:20,677",Tarjeta,
610,yETXVslABlxiJCeubW1x,domingo,13:47:04.722000,"13:49:23,680","13:50:37,306","13:50:59,471",Tarjeta,
448,h9p3vbmjNYckH7EvcLyk,domingo,13:12:06.717000,"13:17:25,558","13:17:54,169","13:17:59,991",efectivo,
428,fPE0Bi5yFDW7lReB94Ut,domingo,14:22:05.534000,"14:23:17,259","14:23:25,086","14:23:34,249",efectivo,
526,pqFzh0rUauAPbgz7XfIz,domingo,12:09:00.558000,"12:09:55,521","12:10:21,306","12:10:37,620",Tarjeta,
589,wdSdsNjrO5kaul3mQveC,domingo,14:14:54.989000,"14:15:27,115","14:15:35,548","14:15:43,520",Tarjeta,
537,qohFK2g2jxECotHRHkZ1,domingo,11:40:45.243000,"11:41:09,863","11:41:37,239","11:41:50,763",Tarjeta,
549,sFxbhXxCF7wEhRsheBCG,domingo,14:08:20.540000,"14:10:13,356","14:10:28,145","14:10:54,219",Tarjeta,
500,mJrvzQVheoWHKdIGug1R,domingo,14:51:19.901000,"14:59:27,056","14:59:35,147","14:59:46,604",efectivo,
501,mKq1ZTwFpOyOWki7sOcD,domingo,13:26:01.287000,"13:27:21,306","13:27:46,446","13:28:06,875",efectivo,
502,mQ2z7B7ofVDWMlazwRIx,domingo,12:18:19.556000,"12:19:14,514","12:19:40,405","12:19:57,703",efectivo,
547,s1PVogQjALhbIPWyasZx,domingo,14:34:45.274000,"14:41:04,926","14:41:15,568","14:41:30,008",efectivo,
504,n9ZnJcinzN7pJSkDf89c,domingo,12:49:06.330000,"12:53:29,344","12:53:47,142","12:54:13,894",Tarjeta,
505,nOuRFDxSrPO1bzHm5bOY,domingo,14:09:48.479000,"14:10:05,713","14:10:34,081","14:11:15,579",efectivo,
508,naLeL5An3SE4ng6kQTyF,domingo,13:53:23.364000,"14:00:48,308","14:01:17,798","14:01:20,421",efectivo,
542,rLAGu93XKfxiEauTSstO,domingo,13:03:40.233000,"13:06:29,076","13:06:53,529","13:07:13,208",Tarjeta,
541,rL3Bkl4SNBH1WORr2LY1,domingo,13:17:20.589000,"13:17:51,456","13:17:55,824","13:18:18,874",efectivo,
540,rIAFV27GyTnVEy1zHoLO,domingo,14:51:59.293000,"15:00:20,603","15:00:31,559","15:00:52,506",efectivo,
511,nzcXNpPIRbBmUzmC0mZJ,domingo,13:46:39.357000,"13:48:39,637","13:49:06,187","13:49:14,135",efectivo,
538,r28Cy2hweoFlSWHF5fw4,domingo,14:21:08.521000,"14:24:51,119","14:25:01,656","14:26:26,956",Tarjeta,
536,qli5ed89IbGd6PVA5W8R,domingo,14:38:14.400000,"14:43:23,057","14:43:53,482","14:44:15,699",Tarjeta,
497,m9j4bieKPMaEJ3WHi0Me,domingo,14:46:42.635000,"14:53:41,199","14:53:58,532","14:55:37,152",digital,"Volvio jefa, hay 4 en cocina y una en caja"
514,ocdiXWF1W5twrDXWKUWc,domingo,12:41:06.896000,"12:41:11,314","12:41:44,096","12:42:04,154",efectivo,
515,ofHDBDavliDc7HUCIVgB,domingo,11:49:45.621000,"11:48:52,951","11:49:06,656","11:49:25,669",Tarjeta,
516,oiCByUTjZgMA7H1NkLXi,domingo,13:01:08.196000,"13:01:24,023","13:01:46,466","13:02:07,207",efectivo,
534,qWw8teTZ29k8GjeRZYME,domingo,14:22:19.183000,"14:27:48,427","14:27:56,438","14:28:10,732",Tarjeta,
517,oiuNl4Xfez8twUcn1A2J,domingo,14:12:56.708000,"14:15:49,210","14:15:54,981","14:16:16,591",efectivo,
518,onqQF6YGYRD8TIl5McR2,domingo,13:14:23.461000,"13:15:56,082","13:16:08,868","13:16:25,255",Tarjeta,
520,oxdDbIutLd0TfIPg9a9X,domingo,13:46:00.107000,"13:47:14,765","13:47:24,228","13:50:56,747",Tarjeta,Datafono fallando
521,p9kZ1rlFOC4lRS8EXGBd,domingo,12:40:01.089000,"12:40:02,269","12:40:21,376","12:40:33,446",efectivo,
533,qPxGpzR7mGHnWZ4KLJ0T,domingo,14:05:17.860000,"14:06:07,246","14:06:46,151","14:07:03,983",efectivo,
523,pLpNZ4uWLHYNsicRzl57,domingo,12:57:16.759000,"13:00:25,344","13:00:54,104","13:01:20,727",efectivo,
530,qEL6HFXmKwFXCIcRVinI,domingo,14:21:51.348000,"14:22:20,606","14:22:52,853","14:23:13,277",efectivo,
529,q6NH6kipKOlnG9dPq2Im,domingo,14:41:46.865000,"14:47:19,086","14:47:41,581","14:47:55,572",efectivo,
527,pr5fJyWRrnxp7JgrZZnY,domingo,13:05:02.104000,"13:11:20,531","13:11:23,483","13:11:44,980",efectivo,
550,sOALknG9Fzphpq0C4oen,domingo,13:06:47.504000,"13:13:37,355","13:14:10,920","13:15:49,783",Tarjeta,Fallo datafono
496,m4ECGbivMTkviIJrBjxV,domingo,14:49:16.126000,"14:57:30,185","14:57:42,240","14:58:03,569",efectivo,
588,wYzWaDvYAJzEm87ARPgY,domingo,11:50:19.556000,"11:51:02,636","11:51:47,779","11:52:08,531",efectivo,
567,tcHoF81O9a090lH0OSvm,domingo,14:55:19.884000,"15:02:30,869","15:02:44,665","15:03:03,359",Tarjeta,
453,hTeYRdQwqqhuQNiXmjNg,domingo,13:30:44.165000,"13:33:34,042","13:33:59,639","13:34:21,382",Tarjeta,
457,hqzr3V9JQnStCGe6DrXj,domingo,13:43:51.630000,"13:45:32,027","13:45:43,265","13:46:14,375",Tarjeta,
584,vo00Qi5i0Ga0YQ6MwD88,domingo,13:46:06.987000,"13:50:58,914","13:51:21,270","13:51:34,623",efectivo,
583,vmhwfZQnT3kgrPJPsC7L,domingo,13:10:40.791000,"13:16:37,314","13:16:43,969","13:17:04,057",efectivo,
