,id,copas,gofres,bebidas,crepes,diaSemana,observacion,helados
71,8pwr55UAoGc77MyleN8y,[],[],[],[],viernes,,"[{'inicio': '13:12:03,010', 'fin': '13:13:40,068'}]"
72,8vMXW25RrRvBzWSLaYRH,[],[],[],[],domingo,,"[{'inicio': '14:56:02,544', 'fin': '14:56:18,034'}]"
73,8wvWAXSLUc6ZEMmCRd9z,[],[],[],[],sábado,,"[{'inicio': '12:13:40,181', 'fin': '12:15:02,182'}]"
74,8xM0629ouyI5ED4iv0aS,[],[],[],[],domingo,,"[{'inicio': '13:21:47,373', 'fin': '13:22:34,915'}]"
75,9BqtusxzKklRUAI1wEKK,[],[],[],[],domingo,Artesano,"[{'inicio': '11:52:06,411', 'fin': '11:53:33,143'}]"
76,9ERi6YragvhunWFcmSNj,[],"[{'inicio': '14:26:31,905', 'fin': '14:31:06,025'}]",[],[],viernes,,[]
77,9G7r7SCiRJ6MdKkVvVQZ,[],[],[],[],viernes,,"[{'inicio': '13:34:44,775', 'fin': '13:35:06,612'}, {'inicio': '13:35:45,155', 'fin': '13:36:04,454'}]"
78,9HmCKOD5BvSVTf4sJPRt,[],[],[],[],sábado,,"[{'inicio': '13:47:24,875', 'fin': '13:47:51,436'}]"
79,9Md7kinGzcsUZ0iEGHTe,[],[],[],[],sábado,,"[{'inicio': '14:15:28,779', 'fin': '14:15:55,277'}]"
80,9YCA83PWvOfIHufqxT5y,"[{'inicio': '14:30:41,966', 'fin': '14:34:26,413'}]",[],[],[],domingo,4 copas,[]
81,9bJL5NFX8ZnfXbgZ8CnN,[],[],[],[],domingo,Segundo es un artesano,"[{'inicio': '12:56:43,072', 'fin': '12:56:54,071'}, {'inicio': '12:56:55,965', 'fin': '12:59:23,796'}]"
82,9exrWfTMGiepQQJo0t6K,"[{'inicio': '14:19:27,988', 'fin': '14:20:34,472'}]",[],[],[],viernes,,[]
83,9jWwtEMIXhgW8inRq8bq,[],[],[],[],domingo,,"[{'inicio': '14:58:01,520', 'fin': '14:58:17,810'}]"
84,9lxF5DaK163dXZYkybFv,[],[],[],[],domingo,,"[{'inicio': '13:49:31,264', 'fin': '13:49:42,620'}, {'inicio': '13:49:43,675', 'fin': '13:49:50,325'}]"
85,9sxYeXtRPJFfkUZnEKUD,"[{'inicio': '13:08:29,734', 'fin': '13:10:40,455'}]",[],[],[],sábado,,[]
86,ACEbCbU7edSB0Ns5HKQB,[],[],[],"[{'inicio': '13:00:40,224', 'fin': '13:10:31,251'}, {'inicio': '13:11:31,410', 'fin': '13:15:26,109'}]",domingo,,[]
87,ADrKWcHv0n70UZIxhIlH,[],[],[],[],viernes,,"[{'inicio': '12:45:23,267', 'fin': '12:45:52,296'}]"
88,AHKgdMc0mamf1Vx42yTi,[],[],[],[],sábado,,"[{'inicio': '13:44:59,278', 'fin': '13:45:08,494'}, {'inicio': '13:45:09,611', 'fin': '13:45:19,880'}]"
89,ALAdHU4fqaNqeO4lWU7D,[],[],[],[],domingo,,"[{'inicio': '15:03:02,277', 'fin': '15:03:15,115'}]"
90,AT8UmDnWAC5f9IFtczNy,[],[],[],[],sábado,,"[{'inicio': '12:07:41,139', 'fin': '12:08:00,018'}]"
91,AcG9s2EW27Xfch7uBCvC,[],[],[],[],domingo,,"[{'inicio': '14:31:59,252', 'fin': '14:32:12,853'}, {'inicio': '14:32:13,967', 'fin': '14:32:23,893'}, {'inicio': '14:32:24,411', 'fin': '14:32:37,675'}, {'inicio': '14:32:38,248', 'fin': '14:32:49,123'}]"
92,AkGes53pzYdgSAbecvI4,"[{'inicio': '14:31:43,369', 'fin': '14:33:46,082'}]",[],[],[],sábado,,[]
93,AlUJAMn7ywYdoeTP1Atd,[],[],[],[],sábado,,"[{'inicio': '13:37:12,361', 'fin': '13:37:52,798'}, {'inicio': '13:37:53,731', 'fin': '13:38:05,800'}, {'inicio': '13:38:09,351', 'fin': '13:38:27,690'}]"
94,AtwoHeSnjiqfE8fFtzIa,[],[],[],"[{'inicio': '14:24:28,469', 'fin': '14:27:43,451'}]",domingo,,[]
95,B0jo3qFEkpgupbndaLBs,[],[],[],[],sábado,,"[{'inicio': '13:48:02,779', 'fin': '13:48:27,347'}]"
96,B320KrJReXi7ANdhvi9o,"[{'inicio': '14:44:32,536', 'fin': '14:48:46,242'}]",[],[],[],viernes,Artesano ,[]
97,B6Lcah3CdYdkVvmcHVWR,[],[],[],[],domingo,,"[{'inicio': '13:20:05,586', 'fin': '13:20:12,715'}, {'inicio': '13:20:31,132', 'fin': '13:20:37,503'}, {'inicio': '13:20:38,504', 'fin': '13:20:47,804'}]"
98,B767K5PKzAQmfEfcAuxc,[],"[{'inicio': '12:59:29,322', 'fin': '13:06:08,020'}]",[],[],sábado,,[]
99,BAFPflwHMbR4xTy5b7Rv,[],[],[],[],sábado,,"[{'inicio': '13:58:48,013', 'fin': '13:58:52,945'}]"
100,BIxShdFL4tHly7S3RSNF,[],[],[],[],domingo,,"[{'inicio': '14:25:49,733', 'fin': '14:26:08,595'}, {'inicio': '14:26:11,333', 'fin': '14:26:43,898'}]"
101,BNHBipUKsq5Sh3e0Auod,[],[],[],[],viernes,,"[{'inicio': '15:01:31,483', 'fin': '15:01:52,819'}]"
102,BPtA5ZzssdJUKbq2lYBG,[],[],[],[],domingo,,"[{'inicio': '14:27:09,027', 'fin': '14:27:18,731'}, {'inicio': '14:27:20,218', 'fin': '14:28:01,253'}]"
103,BThNpgqY47W7KelhHQ74,[],[],[],[],viernes,,"[{'inicio': '13:11:21,384', 'fin': '13:13:37,217'}]"
104,BW5rso5ONQZfqEmhT5Ji,[],[],[],[],domingo,,"[{'inicio': '14:45:30,274', 'fin': '14:45:56,481'}]"
105,Bc8wfKQxzg9mU7FYEn2Q,[],[],[],[],domingo,,"[{'inicio': '14:14:30,744', 'fin': '14:14:38,439'}, {'inicio': '14:14:39,002', 'fin': '14:14:58,875'}, {'inicio': '14:14:59,883', 'fin': '14:15:22,497'}, {'inicio': '14:15:23,331', 'fin': '14:15:44,622'}]"
106,BrcFL8FE3EYtVjTt1MC3,[],[],[],[],domingo,,"[{'inicio': '13:21:59,579', 'fin': '13:22:15,912'}]"
107,Bryz3f7yzD0cnd2Ds3kc,[],[],[],[],sábado,,"[{'inicio': '13:41:16,741', 'fin': '13:41:42,858'}]"
108,BsDlooaFMxcsUxfmHTgQ,[],[],[],[],sábado,,"[{'inicio': '14:00:19,905', 'fin': '14:00:23,199'}]"
109,C7pB54wPj6soPonmZnwn,"[{'inicio': '11:50:27,197', 'fin': '11:51:04,218'}]",[],[],[],domingo,,[]
110,CB4TSQwVlZCB2s8bv4l6,"[{'inicio': '11:45:52,300', 'fin': '11:46:36,686'}]",[],[],[],domingo,,[]
111,CBKMTlzgLenrdJfFKgTM,[],[],[],[],domingo,,"[{'inicio': '12:59:29,747', 'fin': '12:59:54,658'}, {'inicio': '12:59:56,654', 'fin': '13:00:08,818'}]"
112,CHVzOUtJQJczUd0jPlpL,[],[],"[{'inicio': '13:55:15,942', 'fin': '13:55:56,112'}]",[],sábado,,[]
113,CIkNA8kn3APgVcREl3Ec,"[{'inicio': '14:34:26,761', 'fin': '14:39:21,390'}]",[],[],[],domingo,Tres copas ,[]
114,CUIyPyrMa190xXzLgqcL,[],[],[],[],domingo,,"[{'inicio': '13:20:45,693', 'fin': '13:21:07,364'}]"
115,CVD6qZJZLoPrwGcOt8sr,[],[],[],[],viernes,,"[{'inicio': '14:43:16,120', 'fin': '14:43:43,530'}]"
116,CjCO50A968JMlVVUg9f5,[],[],[],[],domingo,,"[{'inicio': '11:50:48,034', 'fin': '11:50:57,906'}]"
117,Cphm1fmlrbFjx6cYV4yV,[],[],[],[],sábado,,"[{'inicio': '13:44:20,445', 'fin': '13:44:34,754'}]"
118,Cpm84VwzoPZD3VKdICC5,[],[],[],[],domingo,,"[{'inicio': '13:49:06,568', 'fin': '13:49:26,956'}, {'inicio': '13:49:47,032', 'fin': '13:49:51,549'}]"
119,D11qd6P20BfGKwl0Pq3F,[],[],[],[],viernes,,"[{'inicio': '13:42:21,305', 'fin': '13:42:40,419'}]"
120,D153PDFLNnPnNv4bfhHz,"[{'inicio': '15:00:45,835', 'fin': '15:02:46,987'}]",[],[],[],domingo,,[]
